name;price;quantity;code
CREME DE LEITE DE SOJA SOYMILKE;8;56;4115373192806
CREME DE LEITE IDEAL NESTLE 29;8;58;7548016479003
CREME DE LEITE LEVE 200G ITALAC;8;65;5461720584505
CREME DE LEITE LEVE UHT 1 030 KG;8;75;1336085275103
CREME DE LEITE LEVE UHT 200G;8;71;2334224928226
CREME DE LEITE QUERINHO 24/200;8;71;8390617884791
CREME DE LEITE UHT CAIXINHA PARMALAT 200G;8;71;7266802760700
CREME LEITE CAMPONESA UHT LIGHT;8;69;9427970064047
ELEGE CAIXA;8;75;3946148143532
LEITE BATAVO CALCIO ;8;79;2020211952739
LEITE BATAVO SENSY;8;86;4843501915583
LEITE CAMPONESA ZERO LACTOSE 1 LITRO ;8;85;9119845223911
LEITE ELEGE DESNATADO;8;75;1723913945435
LEITE ELEGE SEMIDESNATADO 1L;8;67;6483761313164
LEITE EM PO DESNATADO MOLICO NESTLE 280G;8;67;5198938279191
LEITE FRIMESA;8;7;3310768792940
LEITE FRIMESA DESNATADO;8;76;8109783341296
LEITE INTEGRAL NAT PARMALAT;8;96;4336021458445
LEITE ITAMBE NOLAC UHT DESNATADO 1LT;9;1;4744677935083
LEITE ITAMBE NOLAC UHT INTEGRAL 1LT;9;2;7337471114645
LEITE ITAMBE NOLAC UHT SEMIDESNATADO 1LT;8;99;3479124484491
LEITE ITAMBE PREMIUM ZERO DESNATADO 1LT;8;98;9045046844635
LEITE L V CORPUS 1L DESNATADO;8;85;3455158972159
LEITE L V DANONE 1LT INTEGRAL;8;75;6460424742900
LEITE L V DANONE 1LT SEMI DESNATADO;8;75;6276046854179
LEITE L V JUSSARA PREMIUM DESNAT;8;75;2472975107162
LEITE L V PARMALAT 1LT ZYMIL;8;76;6894373284029
LEITE L VIDA DAMATTA 1L INTEGRAL;8;77;3427107848432
LEITE L VIDA PARMALAT 1L SEMI DESNATADO;8;78;7227233501973
LEITE LONGA VIDA DESNATADO BATAVO 1L;8;79;8425476625683
LEITE LONGA VIDA DESNATADO MOLICO 1L;8;79;3113808082254
LEITE LONGA VIDA DESNATADO PARMALAT 1L;8;8;2419571666130
LEITE LONGA VIDA DESNATADO SHEFA 1 LITRO;8;8;4627742925748
LEITE LONGA VIDA DESNATADO ZERO LACTOSE MOLICO 1L;8;8;6673907208520
LEITE LONGA VIDA INTEGRAL NINHO 1 LITRO;8;81;8827048104463
LEITE LONGA VIDA INTEGRAL PARMALAT 1L;8;81;4018484328717
LEITE LONGA VIDA INTEGRAL SHEFA 1L;8;81;3219789629206
LEITE LONGA VIDA SEMI DESNATADO BATAVO 1L;8;82;3429359235174
LEITE LV JUSSARA SANTE BAIXA LACTOSE 1L;8;82;5869638936152
LEITE LV SHEFA 1LT ZERO LACTOSE GFA;8;82;1827765052885
LEITE PARM DIETALAT LIGHT ;8;81;5149260561660
LEITE SEMI DESNATADO FRIMESA;8;82;5525760233147
LEITE TIROL INTEGRAL;8;82;4239709512147
LEITE UHT DESNATADO 1 L ITALAC;8;83;5205426870897
LEITE UHT INTEGRAL 1L COM TAMPA ITALAC;8;83;4059251625150
LEITE UHT INTEGRAL PIRACANJUBA;8;83;8407769180132
LEITE UHT LECO 1LT INTEGRAL;8;82;9925214203130
LEITE UHT SEMIDESNATADO 1L ITALAC;8;81;5783505574283
LEITE UHT SEMIDESNATADO PIRACANJUBA ZERO LACTOSE 1L;8;81;6721343354762
LEITE UHT SHEFA SEMI DESN ZERO LACTOSE 1L;8;8;1305370065050
LONGA VIDA BATAVO INTEGRAL COM FERRO CAIXA 1L;8;8;9861732943283
LONGA VIDA ELEGE INTEGRAL CAIXA 1L;8;8;9662888560445
LONGA VIDA ELEGE INTEGRAL COM BAIXO TEOR DE LACTOSE CAIXA 1L;8;8;8460390079001
LONGA VIDA FRIMESA SEMI DESNATADO BAIXO TEOR DE LACTOSE CAIXA 1L;8;81;2317019832922
LONGA VIDA ITAMBE SEMI DESNATADO CAIXA 1L;8;81;3185367070282
LONGA VIDA NINHO INTEGRAL CAIXA 1L;8;81;4440247526626
LONGA VIDA NINHO INTEGRAL COM BAIXO TEOR DE LACTOSE CAIXA 1L;8;81;9677512350151
LONGA VIDA QUATA DESNATADO CAIXA 1L;8;81;7409533750618
LONGA VIDA QUATA INTEGRAL CAIXA 1L;8;81;2413490252802
MOCOCA LIGHT CAIXA;8;81;2188024458494
MOLICO ACTICOL LATA;8;81;6042689177815
MOLICO DESNATADO ACTIFIBRAS LATA;8;81;8897508239956
SHEFA CAIXA;8;81;3306479362809
ALIM NOVO MILKE CHOCOLATE SUICO LT;8;81;6515261358930
ALIM NOVO MILKE MORANGO LT;8;82;9658954353956
CAPRILAT INTEGRAL CAIXA;8;82;1870899946178
CREME DE LEITE;8;82;8375844531246
CREME DE LEITE FRIMESA 200G;8;82;4802542280970
CREME DE LEITE LIGHT GLORIA;8;81;5916482337868
CREME LEITE PARMALAT LIGHT TP;8;82;5031932246239
DELAKASA DIET VIDRO;8;81;6744492731165
HUE DIET VIDRO;8;81;3958005516951
ITAMBE DESNATADO SACHE;8;81;7980328448293
LEITE COND C/MORANGO DIET 220G HUE ;8;81;2383189611393
LEITE CONDENSADO 270G;8;81;5323046216980
LEITE CONDENSADO 270G ITALAC;8;81;1084697443085
LEITE CONDENSADO 395G;8;81;1726134993576
LEITE CONDENSADO 395G ITALAC;8;81;2826252714006
LEITE CONDENSADO DIET LINEA 210GR;8;81;5206934841133
LEITE CONDENSADO FRIMESA TP;8;81;3783242242873
LEITE CONDENSADO MOCA LATA NESTLE 395G;8;81;7785098307721
LEITE CONDENSADO MOCA LIGHT;8;81;1315031153943
LEITE CONDENSADO NEOLAC LATA;8;81;5014100431691
LEITE CONDENSADO VALEDOURADO;8;81;8320733955534
LEITE CONDENSADO ZERO LACTOSE 395G ITALAC;8;81;8645535760619
LEITE CONDICIONADOR CAMPONESA TP 27X | LEITET CONDICIONADORENSADO CAMPONESA 27/270GRS;8;81;4087381636158
LEITE EM PO DESNATADO;8;81;2050730139864
LEITE EM PO DESNATADO 200G ITALAC;8;81;8141072068138
LEITE EM PO FERRO;8;81;5655694252620
LEITE EM PO INTEGRAL 200G ITALAC;8;81;6152452261476
LEITE EM PO INTEGRAL 400G ITALAC;8;81;2581301702923
LEITE EM PO INTEGRAL INSTANTANEO 200G ITALAC;8;81;8425970183539
LEITE EM PO INTEGRAL INSTANTANEO 400G ITALAC;8;81;7013585150284
LEITE EM PO INTEGRAL NINHO 400G;8;81;5558814211162
LEITE EM PO ITAMBE DESNATADO;8;81;7144384780342
LEITE EM PO LA SERENISSIMA;8;81;9619637289275
LEITE EM PO LA SERENISSIMA CAL;8;81;1464723726328
LEITE EM PO NAN 1 NESTLE;8;81;4834618443292
LEITE EM PO NESTOGENO 2 NESTLE;8;81;8075305890318
LEITE EM PO NINHO INSTANTANEO;8;81;3555835896576
LEITE EM PO NUTRIL INTEGRAL;8;81;9984165128405
LEITE EM POTEIXEIRA25/400;8;81;8248268792736
LEITE MOCA STICK TRADICIONAL;8;81;8877251513090
LEITE PO BLENDY 25/400;8;81;7708632269280
LEITE PO ELEGE INTEGRAL;8;81;8075481031156
LEITE PO GLORIA LATA DESNATADO;8;81;6132455725098
LEITE PO NESTLE NINHO 400G SEMI DESNATADO;8;81;2948192763624
LEITE PO NESTOGENO 1 SM R | NESTOGENO 1 400GR;8;81;5742600629013
LEITE SOL BLENDY;8;81;9175601165219
MOLICO DESNATADO COM CALCIO ACTIFIBRAS LATA;8;81;4243449489858
MOLICO DESNATADO SACHE;8;81;4114785448731
NAN A R LATA;8;81;3194031976011
NAN A R LATA 400 G;8;81;7203410601733
NAN PRO 1 LATA;8;81;3896165581776
NESTLE MOCA CAIXA;8;81;6296953604843
NESTLE MOCA LIGHT LATA;8;81;2116814243943
NESTOGENO 1 LATA;8;81;7233690061837
PO P/ PREP LEITE CONDENSADO POTE 200 GR;8;81;5733073982174
SOYMILKE DE SOJA LATA;8;81;8317688959506
ACHOCOLATADO LIQUIDO TODDYNHO GFA;8;81;9582260395104
ACHOCOLATADO TODDY PRONTO;8;81;7099818427792
ACTIMEL DANONE POLPA DE FRUTAS 4 UNIDADES;8;81;8857979018761
ACTIMEL LEITE FERMENTADO;8;81;2070758948446
ACTIVIA;8;81;8500860598621
ACTIVIA ABACAXI C/ HORTELA ZERO GORDURA 400GR;8;81;8633517188008
ACTIVIA AMEIXA INDIVIDUAL;8;81;8705283171423
ACTIVIA AVEIA R;8;81;6190715554046
ACTIVIA BANDEJA AMEIXA NATURAL DANONE 400G;8;81;2502880621652
ACTIVIA BANDEJA FIBRAS E AVEIA DANONE 400G;8;81;3462997026511
ACTIVIA BANDEJA MORANGO DANONE 400G;8;81;3891342511786
ACTIVIA BANDEJA ORIGINAL DANONE 400G;8;81;9631024473395
ACTIVIA BAUNILHA;8;81;3849117497793
ACTIVIA BICAMADA AMEIXA;8;81;1946373956394
ACTIVIA C/4;8;81;1021364079336
ACTIVIA C/4UNIDADE;8;81;4768246152382
ACTIVIA CAFE DA MANHA MOR/BAN/MACA;8;81;8077429222732
ACTIVIA CERAIS;8;81;9238381077724
ACTIVIA COCO;8;81;9213071299091
ACTIVIA COCO R;8;81;3862195001308
ACTIVIA DANONE AMEIXA;8;81;6358442947315
ACTIVIA DANREGULARES AMEIXA 100GR;8;81;2164629666932
ACTIVIA FIBRAS;8;81;9968624096059
ACTIVIA FRUTAS VERMELHAS CEREAIS C/4;8;81;8929337241659
ACTIVIA INDIVIDUAL ORIGINAL;8;81;7411848443431
ACTIVIA LARANJA;8;81;1729856035929
ACTIVIA LIGHT;8;81;3945245775999
ACTIVIA LIGHT AVEIA;8;81;5527532557911
ACTIVIA LIGHT BANDEJA AMEIXA 0% DANONE 400G;8;81;5077958939526
ACTIVIA LIGHT BANDEJA MORANGO 0% DANONE 400G;8;81;4551736327814
ACTIVIA LIQ VITAM FRUTAS VERMELHAS 180G;8;81;3760114921193
ACTIVIA LIQUIDO CHA COM PESSEGO;8;81;9183921542086
ACTIVIA LIQUIDO FERMENTO SEM LACT PERA;8;81;8123275129315
ACTIVIA LIQUIDO MAMAO LARANJA;8;81;1004980813375
ACTIVIA LIQUIDO MOR E KIWI LT FERMENTO;8;81;3878546138008
ACTIVIA LIQUIDO MORANGO 0% DANONE 180ML;8;81;6404828755178
ACTIVIA LIQUIDO MORANGO 180G DANONE;8;81;9039431721096
ACTIVIA MAM?O/CEREAIS 800GR;8;81;3866266641355
ACTIVIA MAMAO C LARANJA;8;81;6591843894653
ACTIVIA MANGA 100G DANONE ;8;81;7822143630252
ACTIVIA MANGA 4/1UNIDADE;8;81;5864559972170
ACTIVIA MARACUJA;8;81;7219785465751
ACTIVIA MEL CEREAIS C/4;8;81;5294176405585
ACTIVIA MIX CEREAIS ORIGINAL R;8;81;8809912544157
ACTIVIA MIX MORANGO R;8;81;8192356662410
ACTIVIA MORANGO GARRAFA;8;81;9644002976709
ACTIVIA MORANGO LIQUIDO ;8;81;9336780301841
ACTIVIA MORNGO;8;81;9849748911530
ACTIVIA NATURAL;8;81;4617473494946
ACTIVIA PEDACOS DE FRUTA R;8;81;1190911965636
ACTIVIA PEDACOS FRUTAS;8;81;7715568026720
ACTIVIA PERA;8;81;3088240035578
ACTIVIA SABOR NOZES;8;81;7321320688231
ALIM SOJA BATAVO NATURIS M/B;8;81;5455478479390
BATAVO BIO FIBRAS MORANGO;8;81;7427020498684
BATAVO DESNATADO;8;81;5989725440047
BATAVO LIGHT MORANGO 170;8;81;8812106543239
BATAVO NATURAL;8;81;5414666384915
BATAVO NATURIS C/4 PESSEGO;8;81;1706024535979
BATAVO ORIGINAL;8;81;6042162637347
BATIDO IOGURTE SEMIDESNATADO;8;81;1026725016985
BEB LACT DANONINHO MORANGO 600G;8;81;2274566639958
BEBIDA LACT FRUTI ITAMBE 1LT MORANGO;8;81;8851051630894
BEBIDA LACTEA BATAVO PENSE LIGHT MORANGO;8;81;4567249291420
BEBIDA LACTEA BECEL LV 1L;8;81;1924008835734
BEBIDA LACTEA FERMENTADA MOLICO COM IOGURTE DESNATADO E POLPA DE MAMAO 170G;8;81;2052371789389
BEBIDA LACTEA FRUTAMBE BAUN/AMEIXA;8;81;2583375229490
BEBIDA LACTEA GOODY ITAMBE PESSEGO;8;81;8834769585014
BEBIDA LACTEA GOODY ITAMBE SALADA DE FRUTAS;8;81;2206616993233
BEBIDA LACTEA ITAMBE GOODYFRUTI MORANGO;8;81;7062988278266
BEBIDA LACTEA ITAMBE GOODYFRUTI PESSEGO;8;81;2159677584011
BEBIDA LACTEA ITAMBEZINHO CHOCOLATE;8;81;8817041923284
BEBIDA LACTEA ITAMBEZINHO MORANGO;8;81;1059175165173
BEBIDA LACTEA PARMALAT CHOCOLAT LIGHT 1L;8;81;4024249166724
BEBIDA LACTEA PARMALATINHO CHOCOLATE;8;81;1111206164639
BEBIDA LACTEA QUATAZINHO;8;81;5007573054653
BECEL IOGURTE LIQUIDO PROACTIV AMEIXA;8;81;3994500635020
BIO FIBRAS;8;81;7371350991387
BIO FIBRAS MAMAO;8;81;4384870200517
BIO FIBRAS MORANGO R;8;81;7127806967756
BIO FIBRS MORANGO;8;81;9107995149302
BLISS;8;81;6106655267510
BLISS COCO NESTLE;8;81;5513261905545
BLISS NESTLE MORANGO ;8;81;2742943896210
BOB ESPONJA BATAVO MORANGO 1 UNIDADES;8;81;2685277220429
CHAMBINHO SURPRESA MORANGO 145;8;81;9430097574708
CHAMY;8;81;3026805839955
CHAMY BANDEJA MORANGO +CREMOSO;8;81;6628339652646
CHAMY NESTLE FRUTAS SORTIDAS 1;8;81;9933107495937
CHAMYTO BIG CITRUS;8;81;3809984638507
CHAMYTO BOLINHA BISCOITO;8;81;5305820534468
CHAMYTO BRASIL 2006;8;81;3406911800146
CHAMYTO C 6;8;81;9603044551207
CHAMYTO C CEREAL COLORIDO;8;81;1710866608641
CHAMYTO DIA E NOITE;8;81;5580805457931
CHAMYTO LEITE FERMENTADO NESTL;8;81;4379109769508
CHAMYTO NESCAU;8;81;5672317824947
CHAMYTO NESTLE DESNATADO ADOCADO 6 UNIDADES;8;81;4422305011221
CHAMYTO PASSATEMPO;8;81;1173758018544
CHAMYTO R;8;81;5238110916440
CHAMYTO TANGERINA;8;81;5848970342342
CHAMYTO TUTTI-FRUTTI C/ 4UNIDADE;8;81;2065025250882
CHAMYTO TUTTI-FRUTTI C/6UNIDADE;8;81;1274446031292
CHANDELLE BEIJINHO;8;81;8071090638921
CHANDELLE BRIGADEIRO;8;81;5182636014034
CHANDELLE CHOCOLATE BRANCO 24X180G BR;8;81;4011574853168
CHANDELLE DUE CHOCOLATE BRANCO NESTLE;8;81;8816367201936
CHANDELLE DUE CHOCOLATE NESTLE;8;81;3535610176641
CHANDELLE NESTLE 150GR MOUSSE MARACUJA;8;81;5346343303692
CHANDELLE PEDACOS CHOCOLATE NESTLE R;8;81;4391898726399
CHANDELLE PRESTIGIO;8;81;2082406917862
CJ YAKULT 4X80;8;81;1741703392526
COALHADA ADOCADA INTE POLPA MORANGO 140G BONA SORTE;8;81;6325426734743
COALHADA ADOCADA INTEGRAL POTE 140G BONA SORTE;8;81;9070515773855
COALHADA ECILA CP 200GR;8;81;5798611048418
COALHADA INTEGRAL VALEDOURADO 140G;8;81;2070608892907
COALHADA ITAMBE DESNATADA;8;81;2460957868475
COALHADA ITAMBE INTEGRAL;8;81;1114553339168
COALHADA LIGHT VALEDOURADO 140G;8;81;1307171127097
COALHADA VIGOR;8;81;7818344295371
COQUETELEIRA SHAKER - PROBIOTICA;8;81;5786743912006
CORPUS;8;81;2411055679470
CORPUS 6/1;8;81;4258683568661
CORPUS ABACAXI DANONE C4;8;81;4605941955700
CORPUS BREAK FRUTAS VERMELHAS;8;81;5773727558336
CORPUS BREAK MORANGO;8;81;9077450327568
CORPUS BREAK PESSEGO;8;81;4366958388325
CORPUS DANONE C/6 LIGHT;8;81;3765238223006
CORPUS DANONE C/6 PESSEGO;8;81;2407743513626
CORPUS DANONE LIGHT COPO MORANGO;8;81;9828903246241
CORPUS DANONE LIGHT FR/FIB FR VERMELHAS UNIDADE;8;81;8116725663430
CORPUS DANONE LIGHT PAPAIA/CASSIS;8;81;8629891883679
CORPUS DELICIOUS;8;81;7967564953163
CORPUS DELICIOUS ROMEU E JULIE;8;81;5984621471296
CORPUS FRESH;8;81;6638739446570
CORPUS FRESH ABACAXI;8;81;4840587068267
CORPUS FRESH LARANJA CENOURA E MEL;8;81;1901829142377
CORPUS FRESH MARACUJA;8;81;7484152959095
CORPUS FRESH PESSEGO;8;81;9093469333276
CORPUS FRESH UVA;8;81;1161615126932
CORPUS LGHT AMEIXA 900;8;81;3074513970879
CORPUS PED 4/1;8;81;1358003887447
CORPUS PEDACOS ABACAXI;8;81;6960185791817
CORPUS PEDACOS ABACAXI R;8;81;8010855242749
CORPUS PEDACOS FRUTAS R;8;81;4054401589689
CORPUS PEDACOS IND MORANGO;8;81;9742067789519
CORPUS PEDACOS MORANGO R;8;81;3845441146374
CORPUS PEDACOS SALADA DE FRUTAS;8;81;4677764234893
CORPUS PESSEGO;8;81;2557796707204
CORPUS SALADA FRUTAS;8;81;7491936507144
CORPUS VITA CAL AMEIXA;8;81;3601628168499
CORPUS VITA CAL LIGHT 35%GRATIS;8;81;5778006868761
CORPUS VITACAL ABACAXI C/2;8;81;2105958942173
CORPUS VITACAL AMEIXA C/2;8;81;6436343939406
CORPUS VITACAL MORANGO C2;8;81;3624735179655
DAN UP BANANA C/ ACAI;8;81;5561659990311
DAN UP FRUTAS VERMELHAS R;8;81;6461884510229
DANONE ACTIVIA 170G AMEIXA;8;81;5950540997380
DANONE ACTIVIA C/04 ORIGINAL;8;81;2254201936770
DANONE ACTIVIA FIBRAS/AVEIA;8;81;8054432520855
DANONE ACTIVIA MORANGO C/4UNDS;8;81;5465195815003
DANONE ACTIVIA S/LACTOSE 170G MAN/MAR;8;81;9998126565300
DANONE ACTIVIA S/LACTOSE 170G MOR/BAN;8;81;3486987555552
DANONE ACTIVIA TOQUE DE SOJA C/4 AMEIXA;8;81;8876401274699
DANONE ACTIVIA TOQUE DE SOJA C/4 F VERMELHAS;8;81;9216647501409
DANONE ACTIVIA TORTA LIMAO;8;81;4362620869497
DANONE BLISS POWER ABACAXI E G;8;81;2085039098054
DANONE CORPUS F FIBRAS LIGHT/SABORES C/4;8;81;3957307886202
DANONE CORPUS MARACUJA;8;81;3146457898792
DANONE CORPUS POLPA 540G AMEIX/MOR;8;81;6348485479933
DANONE DANITO C/6 FRUTAS;8;81;9517844324256
DANONE GRANOLA MEL 170GR;8;81;7940524606129
DANONE GREGO FRUTAS VERMELHAS;8;81;6599445942368
DANONE IOG GREGO 100G LIGHT PESSEGO;8;81;9864442566248
DANONE IOGURTE SUCRILHOS;8;81;9238677055723
DANONE MEL CEREAIS 160;8;81;5164247470291
DANONE MOLICO BEAYTY LARANJA N;8;81;7439652465625
DANONE NESTLE MORANGO C6;8;81;4422309908349
DANONE PAPAYA COM CASSIS;8;81;8297522354234
DANONE TURMA DA MONICA BANANA E MACA 760GR;8;81;8682824374249
DANONINHO LEITE FERMENTADO;8;81;1215758653343
DANONINHO PARA BEBER;8;81;9015155890348
DANUP FRUTAS VERMELHAS;8;81;4500982581522
DANUP ICE MORANGO;8;81;9274147660209
DAUP AVEIA E MEL;8;81;2931727916492
DUPLI MORANGO PAULISTA;8;81;4508165655619
FAZENDA BELA VISTA LARANJA;8;81;1998499530594
FAZENDA BELA VISTA POLPA DE AMEIXA;8;81;1867503645596
FLAN MOCA CARAMELO NESTLE;8;81;3579043396511
FRAN CHOCOLATE C/2;8;81;6014140875745
FRIMINHO BATIDA DE FRUTAS;8;81;7965587215195
GOMA MASC MENTOS SLIM BOX MOR;8;81;9975382300169
IOG DANONE CORPUS 135GR MORANGO;8;81;4295241414186
IOG DANONE GREGO 100G LIGHT FRUT VERMELHAS;8;81;1726706187006
IOG NESTLE GREGO 90G COCO;8;81;8097340075104
IOG NESTLE LIQ 170G ZERO LACTOSE MARACUJA;8;81;4428566291191
IOG NESTLE LIQ 170G ZERO LACTOSE MORANGO;8;81;4327248306223
IOG NESTLE NINHO LIQ 170G ZERO LACTOSE MORANGO;8;81;7547118222941
IOG NESTLE NINHO LIQ 170G ZERO LACTOSE VITAM FRUTA;8;81;6620065578150
IOG VITAMBE 200GR ABACAXIC/LARANJA;8;81;5012189939138
IOGURTE;8;81;8876442179097
IOGURTE ACTIVIA 0%COCO DANONE;8;81;3139193022132
IOGURTE ACTIVIA AMEIXA;8;81;4243991772014
IOGURTE ACTIVIA MORANGO R;8;81;1660704786662
IOGURTE ACTIVIA PESSEGO LIGHT C/4;8;81;9925541360842
IOGURTE ACTIVIA VITAMINA FR VERMELHAS;8;81;4804597923089
IOGURTE ACTIVIA ZERO LATOSE BAN/MORANGO;8;81;3616516446938
IOGURTE ACTIVIA ZERO LATOSE BATIDO;8;81;5260526962192
IOGURTE ACTIVIA ZERO LATOSE MANGA/MARACUJA;8;81;3531780527901
IOGURTE ACTIVIA ZERO LATOSE MORANGO;8;81;4557253507809
IOGURTE ACTIVIA ZERO LATOSE SEMI DESNATADO;8;81;3323651611591
IOGURTE BATAVO;8;81;3688373791853
IOGURTE BATAVO AMEIXA;8;81;1213861564594
IOGURTE BATAVO BANDEJA 6/1;8;81;1222131670138
IOGURTE BATAVO BIO FIBRAS AMEIXA;8;81;7527245522473
IOGURTE BATAVO C/MEL COPO;8;81;4638675786763
IOGURTE BATAVO GREGO 180GR BAUNILHA;8;81;3789818896023
IOGURTE BATAVO GREGO 180GR MORANGO;8;81;7924962198276
IOGURTE BATAVO GREGO BAUNILHA 120GR;8;81;6364405735571
IOGURTE BATAVO GREGO CREME MANGA;8;81;9893563552886
IOGURTE BATAVO LIQUIDO PENSE LIG AMEIXA;8;81;3708198310315
IOGURTE BATAVO MAMAO E LARANJA;8;81;3522791370794
IOGURTE BATAVO NATURIS SOJA 4X100GR FR VERMELHAS;8;81;5479406114938
IOGURTE BATAVO NATURIS SOJA CHOCOLATE C/2;8;81;7798783181433
IOGURTE BATAVO PED FRUTA ABACAXI;8;81;1022720559364
IOGURTE BATAVO PED FRUTA LICHIA;8;81;9629628527907
IOGURTE BATAVO PENSE LIGHT AMEIXA;8;81;5096580071041
IOGURTE BATIDO VIGOR;8;81;2555070663776
IOGURTE BECEL MORANGO PRO ACTIVE;8;81;3769736891320
IOGURTE BIO FIBRAS BATAVO MAMAO;8;81;2793427841118
IOGURTE BLISS;8;81;7465981331877
IOGURTE BLISS POWER;8;81;9544991876112
IOGURTE C PEDACOS MORANGO BATAVO;8;81;9409527874169
IOGURTE C/ LARANJA CENOURA E M;8;81;1736735109952
IOGURTE C/ LARANJA/CENOURA/MEL;8;81;9663164824545
IOGURTE C/ MEL;8;81;8315307298572
IOGURTE C/SUCO ABACAXI MOLICO;8;81;3434620171506
IOGURTE CHAMBINHO 2 EM 1 C/8;8;81;1319355412636
IOGURTE CHAMBINHO ICE C/6;8;81;8836367653823
IOGURTE CHAMBINHO MORANGO C/8;8;81;2686016174854
IOGURTE CHAMBINHO NESTLE TUB MOR;8;81;4471758264830
IOGURTE CHAMY MORANGO;8;81;1568600767741
IOGURTE CHAMY PESSEGO;8;81;6614705768678
IOGURTE COM POLPA DE ABACAXI E RASPAS DE LIMAO DANIO DANONE;8;81;9055200836124
IOGURTE COM POLPA DE BANANA CEREAIS E MEL DANIO DANONE;8;81;7893162502479
IOGURTE COM POLPA SUCO FRUTAS SBORES;8;81;5363031254206
IOGURTE CORPUS;8;81;5800177152347
IOGURTE CORPUS BREAK;8;81;5084693727502
IOGURTE CORPUS FRESH KIWI/UVA;8;81;5163601775551
IOGURTE CORPUS MORANGO HTP;8;81;7345198859383
IOGURTE CORPUS ZERO GREGO FRUTAS VERMELHAS;8;81;1505968511102
IOGURTE CORPUS ZERO GREGO MARACUJA;8;81;1972787905600
IOGURTE CREMIE MORANCO C/6;8;81;3530310640520
IOGURTE DAN UP MAMAO MACA BANANA R;8;81;3429821448672
IOGURTE DAN UP MORANGO R;8;81;1519045730866
IOGURTE DANIO DANONE BLUEBERRY;8;81;1498835979202
IOGURTE DANIO DANONE MORANGO;8;81;5328932396620
IOGURTE DANIO DANONE PESSEGO;8;81;7172484038238
IOGURTE DANIO MARACUJA;8;81;7437808662146
IOGURTE DANONE ACTIVIA LEITE FERMENTADO;8;81;5313482570771
IOGURTE DANONE ACTIVIA NOZES;8;81;2038529293800
IOGURTE DANONE ACTIVIA R$4;8;81;1968597303443
IOGURTE DANONE BATIDO DESATADO FSCO;8;81;2936514726538
IOGURTE DANONE CORPUS ABACAXI 200;8;81;9519748248441
IOGURTE DANONE CORPUS DEL M SHAKE LIGHT;8;81;5577732913443
IOGURTE DANONE CORPUS DEL MOR/CHO LIGHT;8;81;2057959505670
IOGURTE DANONE CORPUS DUO MOR/GELEIA;8;81;8655289869182
IOGURTE DANONE CORPUS DUO PESSEGO;8;81;8434866664709
IOGURTE DANONE CORPUS F VERMELHO FIBRAS;8;81;8054449971845
IOGURTE DANONE CORPUS FRESH LAR/CEN/MEL;8;81;6493748745443
IOGURTE DANONE CORPUS LIGHT MORANGO PT;8;81;9197517462101
IOGURTE DANONE CORPUS MANGA LIGHT BDJ;8;81;4959560125569
IOGURTE DANONE CORPUS MORANG LIGHT FSCO;8;81;7274163980826
IOGURTE DANONE CORPUS PED MOR/AMEIXA;8;81;6951627563258
IOGURTE DANONE CORPUS VITA CAL DUO;8;81;5502488088364
